StoreID,StoreName,ADPBatchID,ADPBatchDescription,TotalHours,TotalTips,TipsPerHour
1031,College Station TX,1031,CSTATION,987.1999999999999,4592.290000000002,4.651833468395464
1032,Memphis TN (Poplar),1032,,1260.84,6650.1300000000065,5.274364709241463
1033,Waco TX,1033,WACO,994.79,4349.28,4.372058424391078
1034,Franklin TN (Cool Springs),1034,CSPRINGS,957.2999999999998,4796.100000000002,5.010028204324667
1035,Monroe LA,1035,MONROE,1976.32,5618.879999999999,2.843102331606217
1036,Gulfport MS,1036,GPORT,2058.7599999999998,9236.529999999992,4.486453010550036
1037,Tallahassee FL,1037,,1084.04,5763.57,5.316750304416811
1039,Byram MS,1039,BYRAM,1342.75,2987.54,2.224941351703593
1040,Ridgeland MS (Township),1040,Township,1663.3200000000002,10646.820000000003,6.400945097756296
1041,Starkville MS,1041,,1788.8600000000001,8246.100000000002,4.609695560300975
1042,Hot Springs AR,1042,Hot Springs,1368.23,5451.82,3.984578616168334
1043,Atlanta GA (Brookhaven),1043,,1218.5800000000002,6983.700000000001,5.731014787703721
1044,Vestavia Hills AL,1044,,1012.53,5293.49,5.227983368394023
1046,Newnan GA,1046,,1863.5200000000002,7785.29,4.177733536533013
1048,Bossier City LA,1048,,2061.13,6568.6200000000035,3.186902330275142
1051,Jacksonville FL (The Avenues),1051,Avenues,818.2400000000001,5123.250000000002,6.261304751662105
1053,Knoxville TN (Cedar Bluff),1053,,769.21,3796.5199999999995,4.935609261450058
1054,West Plano TX,1054,,754.05,3110.7400000000007,4.1253763013062805
1056,Jacksonville FL (Parkway),1056,Parkway,941.1899999999998,3797.229999999999,4.034498879078613
1057,Nacogdoches TX,1057,,1062.56,4470.130000000002,4.20694360789038
1060,Vicksburg MS,1060,,851.2199999999999,3363.690000000001,3.9516106294494975
1061,Summerville SC,1061,,989.95,5680.820000000001,5.738491843022375
1062,Montgomery AL,1062,MONTG,1257.97,1595.1200000000001,1.2680111608384939
1063,Waugh Chapel MD,1063,,927.7200000000001,4600.63,4.959071702668908
1068,Opelika AL,1068,OPE,1411.34,4740.990000000002,3.359211812887045
1069,Little Rock AR (S. University),1069,S. University,1126.35,3953.139999999999,3.5096905935100096
1072,Hoover AL,1072,,1216.8000000000002,5569.689999999999,4.577325772518078
1073,Fayetteville AR,1073,,847.72,3519.58,4.151818996838578
1075,Pensacola FL (Cordova Mall),1075,,759.0299999999999,4083.87,5.380380222125608
1076,West Monroe LA,1076,West Monroe,2096.66,5788.189999999997,2.760671735045261
1079,Ruston LA,1079,Ruston,1700.1,5262.52,3.095417916593142
1085,Houston TX (Bunker Hill),1085,,816.51,2935.2900000000004,3.59492229121505
1087,Baton Rouge LA (Corporate),1087,Corporate,1028.2099999999998,5329.040000000003,5.182832300794589
1088,Atlanta GA (Perimeter Mall),1088,Perimeter Mall,1221.9700000000003,5372.520000000001,4.396605481312962
1090,Kennesaw GA,1090,,1098.49,3782.0700000000006,3.442971715718851
1094,Norcross GA (Peachtree Corners),1094,Norcross,2060.2999999999997,712.02,0.34559044799301075
1097,Spanish Fort AL,1097,,1734.6000000000004,7949.669999999998,4.582998962296781
1099,Mobile AL (McGowin Park),1099,McGowin,1259.2699999999998,6691.900000000001,5.314110556115846
1104,Mobile AL (Westgate Pavilion),1104,Westgate,896.59,3199.24,3.5682307409183682
1118,Murfreesboro TN (Northgate),1118,MNORTH,777.42,3565.6600000000008,4.586529803709707
1119,Lufkin TX,1119,,830.3000000000002,3071.75,3.6995664217752613
1120,Rogers AR (Pinnacle),1120,,1244.1399999999999,3785.58,3.0427283103187746
1127,Jonesboro AR (East Highland),1127,,1906.4299999999998,7294.970000000001,3.8265081854565874
1129,Canton GA (Canton Cumming Hwy),1129,,1228.0,4630.19,3.7705130293159606
1130,Jacksonville FL (Butler Point),1130,Butler Point,685.8100000000001,3642.420000000001,5.311121156005308
1131,Dothan AL,1131,,990.56,1776.46,1.793389597803263
1133,Lone Tree CO (Lincoln Commons),1133,,1338.89,9379.749999999996,7.0056165928492975
1134,Meridian MS,1134,,1973.3499999999997,6699.439999999999,3.39495781285631
1139,Smyrna GA,1139,,972.8899999999999,4523.44,4.649487609082219
1147,Tucker GA (Northlake Pkwy),1147,,1248.46,136.37,0.10923057206478382
1148,Frisco TX (Near Hall Office Park and Frisco Star),1148,,574.59,2210.2599999999998,3.846673280077968
1154,Albany GA (Westover Blvd),1154,,1921.9300000000003,5268.45,2.74122886889741
1157,Columbus GA (Whittlesey Blvd),0,,1186.1,2195.110000000001,1.8506955568670442
1166,Fort Worth TX (Champions Center),1166,,1308.03,4711.830000000001,3.6022338937180347
1172,Peachtree City GA (The Overlook),1172,,1090.1699999999998,5020.12,4.604896484034601
1175,Conway AR (Lewis Crossing),1175,,1068.6599999999999,4058.6499999999996,3.7978870735313386
1176,Chattanooga TN,1176,,475.56999999999994,2752.8200000000006,5.788464369072904
1178,Tahlequah OK,1178,,1069.03,3206.53,2.999476160631601
1179,Texarkana TX (S Cowhorn Creek),1179,,1349.53,1583.1799999999998,1.1731343504775735
1180,San Angelo TX,1180,,918.3100000000002,3537.089999999999,3.851738519672004
1182,Athens GA (Epps Bridge Pkwy),1182,,1172.2900000000002,4709.46,4.017316534304651
1183,Cullman AL,1183,NEW01,908.4599999999999,1903.5000000000002,2.0953041410739055
1184,Benton AR,1184,,798.2199999999999,2344.2999999999997,2.936909623913207
1187,Athens GA (Baxter Street),0,,894.77,2500.5699999999997,2.7946511393989515
1188,Lubbock TX (Broadway),0,,335.0,674.0099999999999,2.011970149253731
1189,Fort Smith AR,0,,864.0800000000002,1851.4900000000002,2.1427298398296455
1190,Fort Collins CO,1190,,516.76,2841.469999999999,5.498626054648191
1194,Magee MS,1194,,1380.0200000000002,3089.4700000000003,2.2387139316821494
1195,Mandeville LA,0,,777.25,2925.85,3.764361531038919
1196,Statesboro GA,0,,585.9000000000001,2070.18,3.5333333333333323
1197,Pascagoula MS,1197,Pascagoula,744.18,1673.3099999999995,2.2485285817947265
1198,,,,2.39,,
1199,,,,856.22,3076.690000000001,3.593340496601342
5002,Rockwall TX (Virtual Kitchen),5002,Rockwall,8.38,0.0,0.0
